Lieu,Titre,Nom,Type,Latitude,Longitude,Code,_Partie de,Date
[P0000],Bâle,Bâle,Inconnu,,,,,
[P0001],Valengin,Valengin,Inconnu,,,,,
[P0002],Wipkingen,Wipkingen,Inconnu,,,,,
[P0003],Islikon,Islikon,Inconnu,,,,,
[P0004],Dresde,Dresde,Inconnu,,,,,
[P0005],Saint-Saphorin-sur-Morges,Saint-Saphorin-sur-Morges,Inconnu,,,,,
[P0006],Lucerne,Lucerne,Inconnu,,,,,
[P0007],Fällanden,Fällanden,Inconnu,,,,,
[P0008],Hérisau,Hérisau,Inconnu,,,,,
[P0009],Cossonay,Cossonay,Inconnu,,,,,
[P0010],Mülchi,Mülchi,Inconnu,,,,,
[P0011],Rivaz,Rivaz,Inconnu,,,,,
[P0012],Menzingen,Menzingen,Inconnu,,,,,
[P0013],Thoune,Thoune,Inconnu,,,,,
[P0014],Massagno,Massagno,Inconnu,,,,,
[P0015],Neuchâtel,Neuchâtel,Inconnu,,,,,
[P0016],Zurich,Zurich,Inconnu,,,,,
[P0017],La Chaux-de-Fonds,La Chaux-de-Fonds,Inconnu,,,,,
[P0018],Lausanne,Lausanne,Inconnu,,,,,
[P0019],Saint-Gall,Saint-Gall,Inconnu,,,,,
[P0020],Walchwil,Walchwil,Inconnu,,,,,
[P0021],Deitingen,Deitingen,Inconnu,,,,,
[P0022],Felsberg,Felsberg,Inconnu,,,,,
[P0023],Fribourg,Fribourg,Inconnu,,,,,
[P0024],Bienne,Bienne,Inconnu,,,,,
[P0025],Sursee,Sursee,Inconnu,,,,,
[P0026],Brigue,Brigue,Inconnu,,,,,
[P0027],Unterengstringen,Unterengstringen,Inconnu,,,,,
[P0028],Charmey ?,Charmey ?,Inconnu,,,,,
[P0029],Wald,Wald,Inconnu,,,,,
[P0030],Frauenfeld,Frauenfeld,Inconnu,,,,,
[P0031],Edlibach,Edlibach,Inconnu,,,,,
[P0032],Wolhusen,Wolhusen,Inconnu,,,,,
[P0033],Azmoos,Azmoos,Inconnu,,,,,
[P0034],Boenigen ?,Boenigen ?,Inconnu,,,,,
