Mariage,Mari,Femme,Date,Lieu,Source,Note
[Mariage1],[50005],[63941],1908-12-23,,,
[Mariage2],[50016],[63936],1918,,,
[Mariage3],[50020],[63938],1928,,,
[Mariage4],[50024],[63939],1950,,,
[Mariage5],[50154],[63940],1957,,,
[Mariage6],[50161],[63942],1980,,,
[Mariage7],[50263],[63943],1874,,,
[Mariage8],[50633],[63928],1872,,,
[Mariage9],[50762],[63894],1856,,,
[Mariage10],[51337],[63944],1904,,,
[Mariage11],[51416],[63945],1906,,,
[Mariage12],[51504],[63917],1879,,,
[Mariage13],[51515],[63810],1874,,,
[Mariage14],[51559],[63946],1871,,,
[Mariage15],[51779],[63900],1873-01-10,,,
[Mariage16],[51807],[63947],1874,,,
[Mariage17],[51851],[63948],1906,,,
[Mariage18],[51851],[63949],1884,,,
[Mariage19],[52774],[63950],1926,,,
[Mariage20],[52927],[63951],1931,,,
[Mariage21],[52928],[61308],1905,,,
[Mariage22],[53083],[63952],1921,,,
[Mariage23],[54137],[63953],1894,,,
[Mariage24],[50963],[63955],1920,,,
[Mariage25],[50963],[63957],1917,,,
[Mariage26],[51702],[63738],1878,,,
[Mariage27],[51835],[63959],1890,,,
[Mariage28],[51880],[63960],1870,,,
[Mariage29],[52625],[63962],1928,,,
[Mariage30],[50765],[63963],1863,,,
[Mariage31],[55817],[63910],1870,,,
[Mariage32],[61095],[63964],1892,,,
[Mariage33],[61107],[63967],1873,,,
[Mariage34],[61117],[63852],1865,,,
[Mariage35],[61145],[63968],1873,,,
[Mariage36],[62373],[63970],1907,,,
[Mariage37],[62373],[63971],1882,,,
[Mariage38],[62384],[63877],1851,,,
[Mariage39],[62386],[63781],1870,,,
[Mariage40],[63552],[63974],1886,,,
[Mariage41],[50229],[63975],1937,,,
[Mariage42],[50644],[63976],1881,,,
[Mariage43],[50748],[63977],1868,,,
[Mariage44],[50643],[63923],1876,,,
[Mariage45],[50677],[63981],1910,,,
[Mariage46],[62468],[64009],1875-10-04,,,
[Mariage47],[63999],[64022],1937,,,
[Mariage48],[57428],[64059],1980,,,
[Mariage49],[54527],[64062],1942,,,
[Mariage50],[54562],[64063],1943,,,
[Mariage51],[61695],[64064],1972,,,
[Mariage52],[52721],[63929],1937,,,
[Mariage53],[52489],[64074],1921,,,
[Mariage54],[50249],[64073],1888,,,
[Mariage55],[64077],[64078],,,,
[Mariage56],[50001],[64080],1883,,,
[Mariage57],[55286],[64426],1950-01-07,,,
[Mariage58],[50173],[64428],1918,,,
[Mariage59],[52950],[64445],1923,,,
[Mariage60],[50726],[64703],1903,,,
[Mariage61],[54204],[64710],1942,,,
[Mariage62],[51045],[64713],1934,,,
[Mariage63],[64716],[64717],,,,
[Mariage64],[51302],[64722],1889,,,
[Mariage65],[51254],[64797],1901,,,
[Mariage66],[50705],[63804],1910,,,
[Mariage67],[51260],[63802],1910,,,
[Mariage68],[51836],[52438],1934,,,
[Mariage69],[52415],[63775],1937,,,
[Mariage70],[53217],[64065],1913,,,
[Mariage71],[54288],[63792],1944,,,
[Mariage72],[56185],[63874],1937,,,
[Mariage73],[58297],[63861],1876,,,
[Mariage74],[61093],[63817],1867-06-18,,,
[Mariage75],[61142],[63863],,,,
[Mariage76],[61152],[63878],1884,,,
[Mariage77],[61387],[63915],1880,,,
[Mariage78],[62358],[63851],1888-09-03,,,
[Mariage79],[62424],[63737],,,,
[Mariage80],[62440],[64057],1856,,,
[Mariage81],[62461],[62462],1907,,,
[Mariage82],[62498],[63769],,,,
[Mariage83],[62683],[63821],1900,,,
[Mariage84],[62971],[63927],1900-10-29,,,
[Mariage85],[62981],[63911],1844,,,
[Mariage86],[63374],[63773],1904,,,
[Mariage87],[63436],[63813],1906,,,
[Mariage89],[63604],[63905],,,,
[Mariage90],[74995],[74996],1833-05-27,,,
[Mariage91],[63612],[63895],1866,,,
[Mariage92],[63614],[63736],,,,
[Mariage93],[63623],[63735],,,,
[Mariage94],[63625],[63882],,,,
[Mariage95],[63626],[63883],1845,,,
[Mariage96],[63627],[63890],,,,
[Mariage97],[63629],[64067],,,,
[Mariage98],[63630],[63909],1849,,,
[Mariage99],[63640],[63908],1841,,,
[Mariage100],[63642],[64058],1888,,,
[Mariage101],[63742],[63772],1866,,,
[Mariage102],[63746],[63820],1855,,,
[Mariage103],[63747],[63751],1849,,,
[Mariage104],[63748],[63749],1822,,,
[Mariage105],[63754],[64804],,,,
[Mariage106],[63758],[63782],,,,
[Mariage107],[63765],[63766],,,,
[Mariage108],[63776],[63854],1873,,,
[Mariage109],[63793],[63794],,,,
[Mariage110],[63799],[63800],1892,,,
[Mariage111],[63807],[63816],1841-08-30,,,
[Mariage112],[63814],[63815],1884,,,
[Mariage113],[63819],[63889],1821,,,
[Mariage114],[63822],[63824],1865,,,
[Mariage115],[63826],[63827],1877,,,
[Mariage116],[63828],[63829],,,,
[Mariage117],[63830],[63831],1837,,,
[Mariage118],[63833],[63834],1864,,,
[Mariage119],[63837],[63838],,,,
[Mariage120],[63839],[63840],,,,
[Mariage121],[63841],[63842],,,,
[Mariage122],[63843],[63844],,,,
[Mariage123],[63846],[63847],,,,
[Mariage124],[63848],[63849],,,,
[Mariage125],[63850],[63739],,,,
[Mariage126],[63856],[63858],,,,
[Mariage127],[63859],[63860],,,,
[Mariage128],[63864],[63891],1862,,,
[Mariage129],[63875],[63876],,,,
[Mariage130],[63884],[63885],1921,,,
[Mariage131],[63886],[63887],,,,
[Mariage132],[63892],[64038],,,,
[Mariage133],[63898],[63899],1918,,,
[Mariage134],[63913],[63914],1844-06-27,,,
[Mariage135],[63918],[63919],1849,,,
[Mariage136],[63924],[63925],1865-10-18,,,
[Mariage137],[63931],[63933],1857-12-07,,,
[Mariage138],[63978],[63979],1842,,,
[Mariage139],[64012],[64013],,,,
[Mariage140],[64023],[64053],1892,,,
[Mariage141],[64034],[64035],1884,,,
[Mariage142],[64040],[64042],,,,
[Mariage143],[64043],[64069],1881,,,
[Mariage144],[64048],[64050],,,,
[Mariage146],[64503],[64504],,,,
[Mariage147],[64707],[64708],,,,
[Mariage148],[64714],[64715],,,,
[Mariage149],[64798],[64799],1874-09-10,,,
[Mariage150],[64800],[64801],1846-04-20,,,
[Mariage151],[50085],[54948],2000,,,
[Mariage152],[50026],[64805],1980,,,
[Mariage153],[50172],[64806],1958,,,
[Mariage154],[50175],[64807],1932,,,
[Mariage155],[50189],[64808],1921,,,
[Mariage156],[50209],[64809],1923,,,
[Mariage157],[50671],[64810],1895,,,
[Mariage158],[50692],[64811],1894,,,
[Mariage159],[50725],[64812],1895,,,
[Mariage160],[50756],[64813],1899,,,
[Mariage161],[50790],[64814],1904,,,
[Mariage162],[50806],[64815],1864,,,
[Mariage163],[50850],[64816],1919,,,
[Mariage164],[50864],[64817],1913,,,
[Mariage165],[50865],[64818],1910,,,
[Mariage166],[50916],[64819],1912,,,
[Mariage167],[50928],[64820],1918,,,
[Mariage168],[50957],[64821],1914,,,
[Mariage169],[50990],[64822],1923,,,
[Mariage170],[51066],[64823],1957,,,
[Mariage171],[51120],[64824],1980,,,
[Mariage172],[51166],[64825],1957,,,
[Mariage173],[51198],[64826],1980,,,
[Mariage174],[51202],[64827],1957,,,
[Mariage175],[51291],[64828],1892,,,
[Mariage176],[51309],[64829],1904,,,
[Mariage177],[51318],[64830],1926,,,
